,As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Patients Currently Hospitalized,Patients Newly Admitted,Patients Positive After Admission,Patients Discharged,Patients Currently in ICU,Patients Currently ICU Intubated,Patients Expired,Cumulative COVID-19 Discharges to Date,Cumulative COVID-19 Fatalities to Date,Total Staffed Beds,Total Staffed Beds Currently Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Available,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years,Hospitalized Indicator
14,3/26/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,3/26/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,19.0,9.0,9.0,10.0,4.0,4.0,0.0,64,0,213,32.0,15.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,6.0,0.0,0
16,3/26/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,3/26/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,144.0,1.0,18.0,7.0,32.0,32.0,0.0,25,5,421,25.0,32.0,6.0,0.0,0.0,0.0,17.0,15.0,37.0,39.0,30.0,6.0,0
18,3/26/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,11.0,7.0,0.0,0.0,4.0,3.0,0.0,2,1,210,52.0,20.0,4.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,0
19,3/27/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,13.0,0.0,3.0,6.0,9.0,6.0,0.0,6,0,484,108.0,82.0,15.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,1.0,0.0,0
20,3/27/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,185,61.0,20.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,3/27/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,10.0,2.0,2.0,0.0,3.0,3.0,1.0,2,1,573,195.0,46.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0
22,3/27/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,3.0,0.0,3.0,2.0,0.0,0.0,0.0,7,0,307,113.0,36.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
23,3/27/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,6.0,0.0,0.0,0.0,3.0,3.0,0.0,2,0,224,102.0,16.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0
24,3/27/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,0.0,2.0,0.0,2.0,2.0,1.0,0,2,166,73.0,15.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0
25,3/27/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,21,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,3/27/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,3.0,0.0,0.0,3.0,3.0,0.0,0,0,96,91.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0
27,3/27/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,117.0,2.0,32.0,9.0,41.0,32.0,5.0,25,10,457,30.0,33.0,2.0,0.0,1.0,1.0,31.0,30.0,19.0,18.0,12.0,5.0,0
28,3/27/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,95.0,0.0,25.0,12.0,15.0,22.0,3.0,37,8,321,66.0,16.0,0.0,0.0,0.0,0.0,10.0,13.0,19.0,26.0,18.0,9.0,0
29,3/27/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,290.0,0.0,75.0,29.0,50.0,53.0,8.0,119,33,816,114.0,60.0,2.0,4.0,0.0,3.0,44.0,42.0,75.0,60.0,48.0,14.0,0
30,3/27/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,51.0,0.0,10.0,1.0,20.0,20.0,0.0,12,8,362,26.0,45.0,3.0,0.0,0.0,1.0,18.0,6.0,12.0,7.0,7.0,0.0,0
31,3/27/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,62.0,14.0,1.0,3.0,22.0,22.0,3.0,23,16,322,35.0,16.0,0.0,0.0,0.0,1.0,11.0,10.0,16.0,17.0,6.0,1.0,0
32,3/27/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,42.0,3.0,3.0,2.0,11.0,11.0,1.0,6,2,415,25.0,26.0,0.0,0.0,0.0,0.0,10.0,4.0,14.0,9.0,5.0,0.0,0
33,3/27/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,3/27/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,7.0,7.0,7.0,1.0,3.0,5.0,0.0,65,0,213,32.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0
35,3/27/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,3/27/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,162.0,0.0,12.0,22.0,34.0,30.0,8.0,47,13,421,22.0,32.0,5.0,0.0,0.0,0.0,23.0,22.0,42.0,40.0,30.0,5.0,0
37,3/27/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,9.0,2.0,0.0,2.0,3.0,2.0,1.0,4,2,210,50.0,20.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0
38,3/28/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,19.0,2.0,5.0,1.0,13.0,8.0,0.0,7,0,484,388.0,82.0,54.0,0.0,0.0,0.0,5.0,1.0,4.0,8.0,0.0,1.0,0
39,3/28/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,185,64.0,20.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,3/28/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,11.0,1.0,1.0,0.0,4.0,4.0,0.0,2,1,573,190.0,46.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,0
41,3/28/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,11.0,0.0,11.0,5.0,4.0,5.0,0.0,12,0,307,133.0,36.0,11.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,3.0,0.0,0
42,3/28/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,8.0,2.0,2.0,1.0,5.0,3.0,0.0,3,0,249,123.0,16.0,9.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0
43,3/28/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,7.0,0.0,1.0,1.0,2.0,2.0,0.0,1,2,150,74.0,15.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0
44,3/28/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,31,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,3/28/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,14.0,5.0,0.0,0.0,6.0,6.0,0.0,0,0,163,91.0,96.0,90.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,0
46,3/28/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,128.0,5.0,23.0,10.0,42.0,32.0,3.0,35,13,457,5.0,33.0,8.0,0.0,0.0,1.0,31.0,35.0,23.0,21.0,11.0,6.0,0
47,3/28/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,97.0,0.0,14.0,12.0,15.0,22.0,3.0,49,11,321,44.0,16.0,0.0,0.0,0.0,0.0,9.0,15.0,20.0,26.0,20.0,7.0,0
48,3/28/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,337.0,2.0,87.0,43.0,51.0,54.0,14.0,162,47,816,90.0,60.0,4.0,2.0,0.0,3.0,50.0,54.0,85.0,69.0,57.0,17.0,0
49,3/28/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,51.0,0.0,0.0,8.0,20.0,20.0,1.0,20,9,385,40.0,98.0,4.0,0.0,0.0,1.0,18.0,6.0,12.0,7.0,7.0,0.0,0
50,3/28/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,74.0,18.0,18.0,3.0,24.0,24.0,3.0,26,19,322,60.0,16.0,0.0,0.0,0.0,1.0,11.0,11.0,19.0,23.0,8.0,1.0,0
51,3/28/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,53.0,7.0,7.0,6.0,12.0,12.0,2.0,12,4,415,18.0,26.0,0.0,0.0,0.0,0.0,10.0,5.0,18.0,13.0,5.0,2.0,0
52,3/28/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,3/28/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,36.0,16.0,3.0,6.0,8.0,11.0,2.0,71,2,213,32.0,15.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,5.0,8.0,0.0,0
54,3/28/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,3/28/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,181.0,2.0,35.0,9.0,36.0,35.0,5.0,56,18,421,38.0,32.0,15.0,0.0,0.0,0.0,28.0,23.0,47.0,45.0,30.0,8.0,0
56,3/28/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,18.0,3.0,8.0,1.0,5.0,3.0,0.0,5,2,210,43.0,20.0,4.0,0.0,0.0,0.0,4.0,2.0,5.0,5.0,2.0,0.0,0
57,3/29/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,22.0,3.0,4.0,2.0,11.0,6.0,2.0,9,2,484,374.0,82.0,56.0,0.0,0.0,0.0,4.0,3.0,5.0,6.0,1.0,3.0,0
58,3/29/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,185,76.0,20.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,3/29/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,9.0,0.0,1.0,2.0,3.0,3.0,1.0,4,2,573,177.0,46.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0
60,3/29/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,3.0,0.0,3.0,4.0,5.0,5.0,0.0,16,0,307,106.0,36.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
61,3/29/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,6.0,0.0,0.0,0.0,3.0,3.0,0.0,3,0,249,121.0,16.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0
62,3/29/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,0.0,1.0,1.0,3.0,3.0,0.0,2,2,166,86.0,15.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0
63,3/29/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,31,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,3/29/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,20.0,10.0,0.0,0.0,10.0,8.0,0.0,0,0,163,91.0,96.0,90.0,0.0,0.0,1.0,4.0,3.0,6.0,3.0,1.0,2.0,0
65,3/29/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,143.0,1.0,24.0,6.0,43.0,33.0,4.0,41,17,457,5.0,33.0,8.0,0.0,0.0,0.0,33.0,34.0,29.0,28.0,14.0,5.0,0
66,3/29/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,113.0,0.0,29.0,5.0,14.0,26.0,8.0,54,19,321,24.0,16.0,1.0,0.0,0.0,0.0,13.0,19.0,20.0,33.0,20.0,8.0,0
67,3/29/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,346.0,0.0,50.0,41.0,61.0,58.0,11.0,203,58,816,112.0,60.0,44.0,5.0,1.0,3.0,48.0,55.0,80.0,77.0,60.0,17.0,0
68,3/29/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,22.0,2.0,1.0,3.0,5.0,3.0,0.0,20,9,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,4.0,2.0,0
69,3/29/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,79.0,6.0,6.0,0.0,29.0,29.0,1.0,26,20,322,52.0,16.0,0.0,0.0,0.0,1.0,14.0,13.0,19.0,21.0,10.0,1.0,0
70,3/29/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,73.0,20.0,20.0,6.0,21.0,21.0,0.0,18,4,415,10.0,26.0,4.0,0.0,0.0,0.0,10.0,18.0,21.0,12.0,10.0,2.0,0
71,3/29/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,3/29/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,57.0,11.0,8.0,4.0,10.0,8.0,1.0,75,3,213,32.0,15.0,0.0,0.0,0.0,0.0,10.0,15.0,13.0,9.0,10.0,0.0,0
73,3/29/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74,3/29/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,209.0,0.0,56.0,12.0,40.0,38.0,8.0,68,26,421,25.0,32.0,4.0,0.0,0.0,0.0,31.0,30.0,50.0,58.0,31.0,9.0,0
75,3/29/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,18.0,6.0,5.0,4.0,6.0,3.0,0.0,9,2,210,54.0,20.0,4.0,0.0,0.0,0.0,3.0,2.0,7.0,3.0,3.0,0.0,0
76,3/30/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,24.0,0.0,3.0,1.0,10.0,8.0,0.0,10,2,684,366.0,117.0,59.0,0.0,0.0,0.0,4.0,4.0,5.0,7.0,2.0,2.0,0
